genetics_bool,genetic_sd,slot_duration,start_abdominal,timestep,simultaneous_fixation,clutch_m,clutch_sd,noise_sd,n_embryos,smallest_n,total_clutches,chisquare,chi_pvalue,pearsonsR,Rsquared,pear_pvalue
True,10,15,42,2,False,10,6,20,519,4,58,1.6,0.952577403929,0.945616011355,0.894189640931,2.56866605899e-254
False,0,15,42,2,False,10,6,20,620,3,67,0.333333333333,0.999318702996,0.989254084276,0.978623643257,0.0
True,10,120,42,2,False,10,6,20,684,103,72,9.82879377432,0.132049513714,0.944866345881,0.892772411578,0.0
True,5,15,42,2,False,10,6,20,651,6,72,2.58536585366,0.858794200285,0.978968717365,0.958379749579,0.0
True,5,120,42,2,True,10,6,20,623,41,64,17.375,0.0079995083571,0.963876790399,0.92905846707,0.0
True,10,120,42,2,True,10,6,20,729,51,76,4.22727272727,0.645950556501,0.932172796279,0.868946122122,4.94065645841e-323
False,0,120,42,2,True,10,6,20,794,75,77,16.0873786408,0.0132925765422,0.977388467922,0.955288217227,0.0
True,5,60,42,2,True,10,6,20,841,24,78,12.3410852713,0.0547780932756,0.981800857581,0.963932923946,0.0
True,5,120,42,2,True,10,6,20,599,38,61,6.10945273632,0.411041572379,0.962605634944,0.926609608427,0.0
True,10,30,42,2,False,10,6,20,745,21,69,3.768321513,0.70799461421,0.952542660752,0.907337520553,0.0
False,0,60,42,2,False,10,6,20,759,50,67,1.75908221797,0.940469495546,0.984431808564,0.969105985712,0.0
True,10,60,42,2,False,10,6,20,746,45,69,6.11086474501,0.410886327151,0.949999080303,0.902498252576,0.0
True,10,15,42,2,False,10,6,20,632,6,66,2.08064516129,0.912134173281,0.943848346115,0.890849700463,3.19863445232e-305
True,5,60,42,2,False,10,6,20,822,55,75,3.3475177305,0.764133714722,0.979767263532,0.959943890688,0.0
False,0,120,42,2,False,10,6,20,842,120,86,1.46666666667,0.961677947293,0.97517971319,0.950975473017,0.0
False,0,30,42,2,False,10,6,20,818,23,81,2.23966942149,0.896389674829,0.986385271559,0.972955903949,0.0
False,0,120,42,2,True,10,6,20,718,54,72,4.94197952218,0.551275987917,0.974861038187,0.950354043775,0.0
True,5,60,42,2,True,10,6,20,636,13,70,12.0985915493,0.0598051449631,0.980643286415,0.961661255192,0.0
True,10,60,42,2,True,10,6,20,693,9,63,11.4639175258,0.0750539645789,0.964836810922,0.93091007171,0.0
False,0,120,42,2,False,10,6,20,667,106,68,1.78647686833,0.938251821202,0.973707251498,0.948105811619,0.0
True,5,60,42,2,True,10,6,20,615,7,66,7.49253731343,0.277685992429,0.978153905912,0.956785063652,0.0
False,0,60,42,2,True,10,6,20,509,17,64,2.58757062147,0.858541263081,0.985305901014,0.970827718573,0.0
True,10,30,42,2,False,10,6,20,725,20,75,3.50379746835,0.743464390325,0.961249542744,0.924000683426,0.0
True,5,60,42,2,True,10,6,20,745,29,82,32.4705882353,1.32546510299e-05,0.98144865437,0.963241461165,0.0
True,5,60,42,2,False,10,6,20,790,51,77,3.0,0.808846830538,0.97880403595,0.958057340791,0.0
False,0,120,42,2,False,10,6,20,773,120,71,10.0517799353,0.122488322397,0.971775795186,0.94434819611,0.0
